	subject_number	AGE_GROUP	TRIAL	image_id	FIRST_LAST	CURRENT_FIX_INDEX	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_DURATION
3365	203	1	17	150	0	21	677.9	486.6	261
3366	203	1	17	150	2	22	407.0	563.7	348
3505	203	1	25	37	1	1	376.3	303.0	504
3506	203	1	25	37	0	2	499.5	206.1	238
3507	203	1	25	37	0	3	476.3	236.0	137
3508	203	1	25	37	0	4	205.7	255.2	289
3509	203	1	25	37	0	5	450.7	227.2	308
3510	203	1	25	37	0	6	360.5	237.9	171
3511	203	1	25	37	0	7	598.6	227.6	262
3512	203	1	25	37	0	8	423.2	405.3	364
3513	203	1	25	37	0	9	471.1	310.1	112
3514	203	1	25	37	0	10	491.0	232.3	301
3515	203	1	25	37	0	11	164.9	247.3	273
3516	203	1	25	37	0	12	380.3	228.9	243
3517	203	1	25	37	0	13	482.0	236.2	504
3518	203	1	25	37	0	14	659.8	246.9	142
3519	203	1	25	37	0	15	475.1	273.3	174
3520	203	1	25	37	0	16	378.4	399.9	278
3521	203	1	25	37	0	17	191.4	242.1	210
3522	203	1	25	37	0	18	169.7	178.2	159
3523	203	1	25	37	0	19	136.8	355.7	192
3524	203	1	25	37	0	20	468.2	262.9	380
3525	203	1	25	37	2	21	365.0	425.8	287
3766	203	1	38	58	1	1	398.3	291.9	664
3767	203	1	38	58	0	2	295.6	294.0	209
3768	203	1	38	58	0	3	577.1	249.9	307
3769	203	1	38	58	0	4	538.3	283.5	277
3770	203	1	38	58	0	5	578.3	351.4	236
3771	203	1	38	58	0	6	671.4	230.4	204
3772	203	1	38	58	0	7	603.2	189.3	112
3773	203	1	38	58	0	8	287.7	214.9	300
3774	203	1	38	58	0	9	610.0	335.9	249
3775	203	1	38	58	0	10	515.6	297.6	355
3776	203	1	38	58	0	11	511.4	271.3	184
3777	203	1	38	58	0	12	663.1	244.3	383
3778	203	1	38	58	0	13	599.5	375.5	213
3779	203	1	38	58	0	14	492.7	306.0	247
3780	203	1	38	58	0	15	631.4	320.2	328
3781	203	1	38	58	0	16	232.5	195.9	170
3782	203	1	38	58	0	17	146.8	149.8	172
3783	203	1	38	58	0	18	380.1	113.2	351
3784	203	1	38	58	0	19	149.6	147.2	299
3785	203	1	38	58	0	20	376.8	274.8	268
3786	203	1	38	58	2	21	283.5	293.4	426
3853	203	1	42	9	1	1	384.3	281.1	876
3854	203	1	42	9	0	2	271.2	362.8	113
3855	203	1	42	9	0	3	501.5	147.0	215
3856	203	1	42	9	0	4	521.3	132.0	318
3857	203	1	42	9	0	5	225.6	402.2	169
3858	203	1	42	9	0	6	273.1	365.9	306
3859	203	1	42	9	0	7	285.3	328.2	284
3860	203	1	42	9	0	8	319.4	320.2	163
3861	203	1	42	9	0	9	261.0	415.2	132
3862	203	1	42	9	0	10	272.9	387.8	336
3863	203	1	42	9	0	11	430.1	397.4	172
3864	203	1	42	9	0	12	495.8	142.0	266
3865	203	1	42	9	0	13	742.5	67.8	185
3866	203	1	42	9	0	14	270.7	152.5	498
3867	203	1	42	9	0	15	126.9	282.9	157
3868	203	1	42	9	0	16	435.1	387.6	349
3869	203	1	42	9	0	17	272.8	383.4	344
3870	203	1	42	9	0	18	240.0	332.7	224
3871	203	1	42	9	0	19	456.7	437.9	175
3872	203	1	42	9	0	20	465.7	491.5	133
3873	203	1	42	9	0	21	481.3	417.2	247
3874	203	1	42	9	2	22	386.0	397.0	285
4136	203	1	56	52	1	1	393.6	300.5	774
4137	203	1	56	52	0	2	198.6	378.6	139
4138	203	1	56	52	0	3	238.4	157.4	288
4139	203	1	56	52	0	4	374.1	168.8	118
4140	203	1	56	52	0	5	557.2	226.6	369
4141	203	1	56	52	0	6	633.0	192.0	258
